AnimalID,RecDate,NovelDay,DataY,StimCond,Environ,BehavT,TrialT
61,220908,3,0.906049382716049,Goal,1,DeltaLickrate,NoStim
63,221009,3,0.750973294173895,Goal,1,DeltaLickrate,NoStim
62,221013,3,0.822546721951806,Goal,1,DeltaLickrate,NoStim
65,221023,3,0.909938131412013,Goal,1,DeltaLickrate,NoStim
4,230430,3,0.917049280685644,Goal,1,DeltaLickrate,NoStim
57,220405,3,0.698224852071006,Goal,1,DeltaLickrate,BothStim
61,220908,3,0.91,Goal,1,DeltaLickrate,BothStim
63,221009,3,0.958477508650519,Goal,1,DeltaLickrate,BothStim
62,221013,3,0.7775,Goal,1,DeltaLickrate,BothStim
65,221023,3,0.80859375,Goal,1,DeltaLickrate,BothStim
4,230430,3,0.915555555555555,Goal,1,DeltaLickrate,BothStim
11,200130,1,0.7255463728191,None,1,DeltaLickrate,AllTrials
11,200131,2,0.619643581660997,None,1,DeltaLickrate,AllTrials
11,200201,3,0.564969740121039,None,1,DeltaLickrate,AllTrials
11,200203,1,0.567474048442906,None,1,DeltaLickrate,AllTrials
11,200204,2,0.534807256235828,None,1,DeltaLickrate,AllTrials
11,200205,3,0.57763751937288,None,1,DeltaLickrate,AllTrials
18,200814,1,0.765583950322427,None,1,DeltaLickrate,AllTrials
18,200815,2,0.740495694181894,None,1,DeltaLickrate,AllTrials
18,200816,3,0.827272270006539,None,1,DeltaLickrate,AllTrials
18,200818,1,0.757712184985881,None,1,DeltaLickrate,AllTrials
18,200819,2,0.744644970414201,None,1,DeltaLickrate,AllTrials
18,200820,3,0.748063768443666,None,1,DeltaLickrate,AllTrials
21,201010,1,0.966038223140496,None,1,DeltaLickrate,AllTrials
21,201011,2,0.885433673469388,None,1,DeltaLickrate,AllTrials
21,201012,3,0.995689655172414,None,1,DeltaLickrate,AllTrials
21,201014,1,0.958521955636034,None,1,DeltaLickrate,AllTrials
21,201015,2,0.914223772268828,None,1,DeltaLickrate,AllTrials
21,201016,3,0.877420652884664,None,1,DeltaLickrate,AllTrials
24,201113,1,0.736210858948578,None,1,DeltaLickrate,AllTrials
24,201114,2,0.756621736261665,None,1,DeltaLickrate,AllTrials
24,201115,3,0.8001426002852,None,1,DeltaLickrate,AllTrials
24,201117,1,0.709047031499492,None,1,DeltaLickrate,AllTrials
24,201118,2,0.676002629848784,None,1,DeltaLickrate,AllTrials
24,201119,3,0.71398257129923,None,1,DeltaLickrate,AllTrials
45,211007,1,0.54389880952381,None,1,DeltaLickrate,AllTrials
45,211008,2,0.572871972318339,None,1,DeltaLickrate,AllTrials
45,211010,3,0.684563021519543,None,1,DeltaLickrate,AllTrials
45,211012,1,0.836675900277009,None,1,DeltaLickrate,AllTrials
45,211013,2,0.769607016360263,None,1,DeltaLickrate,AllTrials
45,211014,3,0.880138408304498,None,1,DeltaLickrate,AllTrials
46,211017,1,0.846049382716049,None,1,DeltaLickrate,AllTrials
46,211018,2,0.924531325108156,None,1,DeltaLickrate,AllTrials
46,211019,3,0.964922711058264,None,1,DeltaLickrate,AllTrials
46,211020,1,0.936296296296296,None,1,DeltaLickrate,AllTrials
46,211021,2,0.943905325443787,None,1,DeltaLickrate,AllTrials
46,211022,3,0.6547,None,1,DeltaLickrate,AllTrials
47,211017,1,0.917522985397512,None,1,DeltaLickrate,AllTrials
47,211018,2,0.95845507669832,None,1,DeltaLickrate,AllTrials
47,211019,3,0.899926953981008,None,1,DeltaLickrate,AllTrials
47,211020,1,0.965704625045284,None,1,DeltaLickrate,AllTrials
47,211021,2,0.88808245028306,None,1,DeltaLickrate,AllTrials
47,211022,3,0.782244897959184,None,1,DeltaLickrate,AllTrials
11,200130,1,0.511499684940139,None,2,DeltaLickrate,AllTrials
11,200131,2,0.527760461702427,None,2,DeltaLickrate,AllTrials
11,200201,3,0.568874338957441,None,2,DeltaLickrate,AllTrials
11,200203,1,0.53387546000604,None,2,DeltaLickrate,AllTrials
11,200204,2,0.580079661376718,None,2,DeltaLickrate,AllTrials
11,200205,3,0.601955083445892,None,2,DeltaLickrate,AllTrials
18,200814,1,0.516041050295858,None,2,DeltaLickrate,AllTrials
18,200815,2,0.53793712915036,None,2,DeltaLickrate,AllTrials
18,200816,3,0.541569833675097,None,2,DeltaLickrate,AllTrials
18,200818,1,0.551715976331361,None,2,DeltaLickrate,AllTrials
18,200819,2,0.552784540297499,None,2,DeltaLickrate,AllTrials
18,200820,3,0.534503271861987,None,2,DeltaLickrate,AllTrials
21,201010,1,0.500195786670843,None,2,DeltaLickrate,AllTrials
21,201011,2,0.591163162097418,None,2,DeltaLickrate,AllTrials
21,201012,3,0.495635786550288,None,2,DeltaLickrate,AllTrials
21,201014,1,0.546683673469388,None,2,DeltaLickrate,AllTrials
21,201015,2,0.601618162057722,None,2,DeltaLickrate,AllTrials
21,201016,3,0.526126339939085,None,2,DeltaLickrate,AllTrials
24,201113,1,0.504292567965659,None,2,DeltaLickrate,AllTrials
24,201114,2,0.528999962362151,None,2,DeltaLickrate,AllTrials
24,201115,3,0.574592029628486,None,2,DeltaLickrate,AllTrials
24,201117,1,0.565957637968599,None,2,DeltaLickrate,AllTrials
24,201118,2,0.561032253269917,None,2,DeltaLickrate,AllTrials
24,201119,3,0.583440742944015,None,2,DeltaLickrate,AllTrials
45,211007,1,0.519626010781671,None,2,DeltaLickrate,AllTrials
45,211008,2,0.54,None,2,DeltaLickrate,AllTrials
45,211010,3,0.593055555555556,None,2,DeltaLickrate,AllTrials
45,211012,1,0.63064313569965,None,2,DeltaLickrate,AllTrials
45,211013,2,0.592208504801097,None,2,DeltaLickrate,AllTrials
45,211014,3,0.633729272959184,None,2,DeltaLickrate,AllTrials
46,211017,1,0.511388888888889,None,2,DeltaLickrate,AllTrials
46,211018,2,0.6861,None,2,DeltaLickrate,AllTrials
46,211019,3,0.901008947268228,None,2,DeltaLickrate,AllTrials
46,211020,1,0.495032144944477,None,2,DeltaLickrate,AllTrials
46,211021,2,0.740698412698413,None,2,DeltaLickrate,AllTrials
46,211022,3,0.681262620894888,None,2,DeltaLickrate,AllTrials
47,211017,1,0.750148720999405,None,2,DeltaLickrate,AllTrials
47,211018,2,0.721482577251808,None,2,DeltaLickrate,AllTrials
47,211019,3,0.854612919547984,None,2,DeltaLickrate,AllTrials
47,211020,1,0.874603594080338,None,2,DeltaLickrate,AllTrials
47,211021,2,0.936904761904762,None,2,DeltaLickrate,AllTrials
47,211022,3,0.848915289256198,None,2,DeltaLickrate,AllTrials
57,220405,3,0.711213017751479,Goal,1,LickLatency,AllTrials
61,220908,3,0.6545,Goal,1,LickLatency,AllTrials
63,221009,3,0.784315269901281,Goal,1,LickLatency,AllTrials
